Last name	First name	Ethnicity	Country	Imm. age	Age category	Gender	Title	Genre	Date	Keywords/Description	Generation
An	Na	Korean American	Korea	child	child	F	The Fold	novel, YA novel	2008	teenage Korean American girls, immigrant parents vs American teenagers	First
Ansary 	Tamim	Afghan America	Afghanistan	16	child	M	West of Kabul, East of New York 	memoir	2002	straddling two vastly disparate cultures	First
Ansary 	Tamim	Afghan America	Afghanistan	16	child	M	The Widow's Husband	novel	2009	historical novel set in Afghanistan	First
Ayub	Awista	Afghan American	Afghanistan	2	child	F	Kabul Girls Soccer Club	autobiography	2009	story of her and 8 afghan girls brought to America to learn soccer and represent their country	First
Bacho	Peter	Filipino American 	Philippines	born	born	M	Cebu	novel	1991	Filipino-American experience	Second
Bacho	Peter	Filipino American 	Philippines	born	born	M	Dark Blue Suit	short story collection	1996	Filipino-American experience	Second
Bacho	Peter	Filipino American 	Philippines	born	born	M	Nelson's run	novel	2002	Filipino-American experience	Second
Bacho	Peter	Filipino American 	Philippines	born	born	M	Entrys	novel	2005	Filipino-American experience	Second
Bacho	Peter	Filipino American 	Philippines	born	born	M	Leaving Yesler	novel, YA novel	2010	Filipino-American experience	Second
Balgassi	Haemi	Korean American	Korea	child	child	F	Peacebound Trains	children's book	1996	Korea	First
Balgassi	Haemi	Korean American	Korea	child	child	F	Tae's Sonata	children's book	1997	Korean-American eighth grader	First
Banerjee	Anjali	South Asian American	India	child	child	F	Imaginary Men	novel	2005	mysticism, magic, women's lives	First
Banerjee	Anjali	South Asian American	India	child	child	F	Invisible Lives	novel	2006	mysticism, magic, women's lives	First
Banerjee	Anjali	South Asian American	India	child	child	F	Haunting Jasmine	novel	2011	mysticism, magic, women's lives	First
Banerjee	Anjali	South Asian American	India	child	child	F	Seaglass Summer	children's book	2011		First
Banerjee	Anjali	South Asian American	India	child	child	F	Looking for Bapu	children's book	2008		First
Banerjee	Anjali	South Asian American	India	child	child	F	Maya Running	children's book	2006		First
Banerjee	Anjali	South Asian American	India	child	child	F	The Silver Spell: Knights of the Silver Dragon, Bok 8	children's book	2005		First
Banerjee	Anjali	South Asian American	India	child	child	F	Rani and the Fashion Divas (Star Sisterz)	children's book	2005		First
Bantwal	Shobhan	South Asian American	India	adult	adult	F	The Dowry Bride	novel	2007	religion, myths, foods, history, geography, arrange marriage, Indian women	First
Bantwal	Shobhan	South Asian American	India	adult	adult	F	The Forbidden Daughter	novel	2008	religion, myths, foods, history, geography, arrange marriage, Indian women	First
Bantwal	Shobhan	South Asian American	India	adult	adult	F	The Sari Shop Widow	novel	2009	religion, myths, foods, history, geography, arrange marriage, Indian women	First
Bantwal	Shobhan	South Asian American	India	adult	adult	F	The Unexpected Son	novel	2010	religion, myths, foods, history, geography, arrange marriage, Indian women	First
Bantwal	Shobhan	South Asian American	India	adult	adult	F	The Full Moon Bride	novel	2011	religion, myths, foods, history, geography, arrange marriage, Indian women	Second 
Bedi 	Susham	(considered) South Asian American	India		N/A	F	Haven (The fire sacrifice)	novel	1989	immigrant's condition in America, strong female	Second
Bedi 	Susham	(considered) South Asian American	India		N/A	F	Katra-Dar-Katra (Drop by Drop)	novel	1994	immigrant's condition in America, strong female	Second
Bedi 	Susham	(considered) South Asian American	India		N/A	F	Lautna (Returning)	novel	1993	immigrant's condition in America, strong female	Second
Bedi 	Susham	(considered) South Asian American	India		N/A	F	Itar (The Other)	novel	1997	immigrant's condition in America, strong female	Second
Bedi 	Susham	(considered) South Asian American	India		N/A	F	Gatha Amarbel Ki (Song of the Amarbel)	novel	1999	immigrant's condition in America, strong female	Second
Bedi 	Susham	(considered) South Asian American	India		N/A	F	Nava Bhum ki Rastha (Epic of the New Land)	novel	2002	immigrant's condition in America, strong female	Second
Bedi 	Susham	(considered) South Asian American	India		N/A	F	Portrait of Mira	novel	2006	immigrant's condition in America, strong female	Second
Bedi 	Susham	(considered) South Asian American	India		N/A	F	Morshe (battlefronts)	novel	2006	immigrant's condition in America, strong female	Second
Bedi 	Susham	(considered) South Asian American	India		N/A	F	Shabdon ki Khirkiyan (words as windows)	novel	2006	immigrant's condition in America, strong female	Second
Bedi 	Susham	(considered) South Asian American	India		N/A	F	Sarak ki Laya (Rhythm of the Road)	novel	2007	immigrant's condition in America, strong female	Second
Bedi 	Susham	(considered) South Asian American	India		N/A	F	Chiriya aur Cheel (The Sparrow and the Kite)	short story collection	1995	immigrant's condition in America, strong female	Second
Brainard	Cecliia Manguerra	Filipino American	Philippines	20s	young adult	F	Song of Yvonne	novel	1991	magical realism, Filipino legends and folktales	First
Brainard	Cecliia Manguerra	Filipino American	Philippines	20s	young adult	F	When the Rainbow Goddess Wept	novel	1995	magical realism, Filipino legends and folktales	First
Brainard	Cecliia Manguerra	Filipino American	Philippines	20s	young adult	F	Magdalena	novel	2002	magical realism, Filipino legends and folktales	First
Brainard	Cecliia Manguerra	Filipino American	Philippines	20s	young adult	F	Women with Hors	short story collection	1987	magical realism, Filipino legends and folktales	First
Brainard	Cecliia Manguerra	Filipino American	Philippines	20s	young adult	F	Seven Stories from Seven Sisters	short story collection	1992	magical realism, Filipino legends and folktales	First
Brainard	Cecliia Manguerra	Filipino American	Philippines	20s	young adult	F	Acapulco at Sunset and other Stories	short story collection	1995	magical realism, Filipino legends and folktales	First
Budhos	Marina	South Asian American	India	born	born	F	House of Waiting	novel	1995	romance, Orthodox woman and Indian man	Second
Budhos	Marina	South Asian American	India	born	born	F	The Proefssor of Light	novel	1999	father-daughter	Second
Budhos	Marina	South Asian American	India	born	born	F	Ask Me no Questions	novel, YA novel	2006	illegral immigrants from Bangladesh, post 9/11	Second
Budhos	Marina	South Asian American	India	born	born	F	Tell Us We're Home	novel, YA novel	2010	immigrants girls, class	Second
Budhos	Marina	South Asian American	India	born	born	F	Remix: Conversations with Immigrant Teengers	nonfiction	2007		Second
Budhos	Marina	South Asian American	India	born	born	F	Sugar Changed the World: A Story of Magic, Spice, Slavery, Freedom, and Science	nonfiction	2010		Second
Bulosan	Carlos	Filipino American 	Philippines	young adult	young adult	M	America is in the heart	fictionalized autobiography	1946	racism, Filipino immgrants, American Dream	First
Bulosan	Carlos	Filipino American 	Philippines	young adult	young adult	M	The Laughter of my Father	short story collection	1944		First
Bulosan	Carlos	Filipino American 	Philippines	young adult	young adult	M	The Cry and the Dedication	novel	1995		First
Bynum	Sarah Shun-Lien	Chinese American	China	born	born	F	Ms. Hempel Chronicles	short story collection	2008	middle school English teacher	Second
Bynum	Sarah Shun-Lien	Chinese American	China	born	born	F	Madeleine Is Sleeping	novel	2004	fairy tale, coming-of-age, French girl, love triangle	Second
Cao	Lan	Vietnamese American	Vietnam	12	child	F	Monkey Bridge	fictionalized autobiography	1997	family, Vietnam War	First
Carling	Amelia Lau	Chinese American	China	young adult	young adult	F	Mama and Papa Have a Store	children's book, autobiography	1998	childhood in Guatemala	First
Carling	Amelia Lau	Chinese American	China	young adult	young adult	F	Sawdust Carpets	children's book, autobiography	2005	Spanish Holy Week celebration	First
Cha	Dia	Hmong American	Laos	4	child	F	Dia's Story Cloth	children's book, autobiography	1996	Hmong history, immigration	First
Cha	Theresa Hak Kyung	Korean American	Korea	child	child	F	Dictée	novel, biography	1982	female figures in Korea and America	First
Chai	May-Lee	Chinese American	China	born	born	F	My Lucky Face	novel	1997	cultural and personal alienation	Second
Chai	May-Lee	Chinese American	China	born	born	F	Glamorous Asian	short story collection	2004	myths, magical realism, diversity of Asian and Asian American women	Second
Chai	May-Lee	Chinese American	China	born	born	F	The Girl from Purple Mountain	memoir	2004		Second
Chai	May-Lee	Chinese American	China	born	born	F	Hapa Girl: A Memoir	memoir	2008		Second
Chan 	Jeffery Paul	Chinese American	China		N/A	M	Eat Everything before You die:A Chinaman in the counterculture	novel	2004	Chinese orphan, Chinese bachelor society, dream, food, sex, family	not stated
Chandra	G.S. Sharat	South Asian American	India	24	young adult	M	Sari of the Gods	short story collection	1998	immigration, separation, ethnicity	First
Chandra	Vikram	South Asian American	India	young adult	young adult	M	Red Earth and Pouring Rain	novel	1995	India's history, mythology, magic	First
Chandra	Vikram	South Asian American	India	young adult	young adult	M	Love and Longing in Bombay	short story collection	1997	ghost story, love story, crime story, murder mystery	First
Chandra	Vikram	South Asian American	India	young adult	young adult	M	Sacred Games	novel	2006	crime and punishment, India, gangster, caste, relgion, povery, prostitution, criminal elite	First
Chang	Diana	Chinese American	China	born	born	F	Frontiers of Love	novel	1956	existencial ambivalence of being biracial and bicultural	Second
Chang	Diana	Chinese American	China	born	born	F	A Women of Thirty	novel	1959	white characters, conflicts of individuals vs social conventions	Second
Chang	Diana	Chinese American	China	born	born	F	A Passion for Life	novel	1961	white characters, conflicts of individuals vs social conventions	Second
Chang	Diana	Chinese American	China	born	born	F	Eye to Eye	novel	1974	white characters, conflicts of individuals vs social conventions	Second
Chang	Diana	Chinese American	China	born	born	F	A Perfect Love	novel	1978	white characters, conflicts of individuals vs social conventions	Second
Chang	Diana	Chinese American	China	born	born	F	The Gift of Love	novel	1978	white characters, conflicts of individuals vs social conventions	Second
Chang 	Henry	Chinese American	China	born	born	M	Chinatown Beat	detective novel	2007	Chinatown detective	Not first
Chang	Henry	Chinese American	China	born	born	M	The Year of the Dog	detective novel	2008	Chinatown detective	Not first
Chang 	Henry	Chinese American	China	born	born	M	Red Jade	detective novel	2010	Chinatown detective	Not first
Chang 	Lan Samantha	Chinese American	China	born	born	F	Hunger	short story collection	1998	immigration, displacement, alienation, hunger for belonging	not first
Chang 	Lan Samantha	Chinese American	China	born	born	F	Inheritance	novel	2004	three generations of women in China	not first
Chang 	Lan Samantha	Chinese American	China	born	born	F	All is Forgotten, Nothing is lost	novel	2010	lives of writer's, love, betrayal, loss	not first
Chang 	Leonard	Korean American	Korea	born	born	M	The Fruit 'n Food	novel	1996	tension between African and Korean Americans	not first
Chang 	Leonard	Korean American	Korea	born	born	M	The Dispatches from the Cold	novel	1998		not first
Chang 	Leonard	Korean American	Korea	born	born	M	Over the Shoulder	novel	2000	Korean American bodyguard, crime	not first
Chang 	Leonard	Korean American	Korea	born	born	M	Fade to Clear	novel	2001	Korean American bodyguard, crime	not first
Chang 	Leonard	Korean American	Korea	born	born	M	Crossing	novel	2009	Korean immigrants in SF	not first
Chao	Evelina	Chinese American	China	born	born	F	Gates of Grace	novel	1949	Chinese American family's journey of assimilation	Second
Chao	Evelina	Chinese American	China	born	born	F	Yeh Yeh's House	memoir	2004	cultural identities, ancestral roots	Second
Chao	Patricia	Chinese American	China	born	born	F	Monkey King	novel	1997	Chinese American artist recovering from molestation	not first
Chao	Patricia	Chinese American	China	born	born	F	Mambo Peligroso	novel	2005	half Japanese, half Cuban, raised in New England, learns to dance mambo peligroso	not first
Chari	Sheela	South Asian American	India	child	child	F	Vanished	children's book	2011	mystery	first
Chau	Easurk Emsen	Korean American	Korea	10	child	M	The Golden Moutain: The Autobiography of a Korean Immigrant (1895-1960)	autobiography	1961	early years in korea, migration to hawaii	first
Chau	Angie	Vietnamese American	Vietnam		N/A	F	They Come	short story collection	2010	immigration, racism, cultural alientation, displacement, memory	first
Che	Sunny	Korean American	Korea		N/A	F	Forever, Alien	memoir	2000	Korean girl growing up in Japan, Korean war	first
Chee	Alexander	Korean American	Korea	born	born	M	Edinburgh	novel	2002	molestaion of Korean American boy	first
Chen	Ching-in	Chinese American	China	born	born	F	The Heart's Traffic	novel	2009		second
Chen	Da	Chinese American	China	23	young adult	M	Brothers	novel	2007	family saga	First
Chen	Da	Chinese American	China	23	young adult	M	Wandering Warrior	YA novel, novel	2004	Kong Fu story for children	First
Chen	Da	Chinese American	China	23	young adult	M	Colors of the Mountain	memoir	2001		First
Chen	Da	Chinese American	China	23	young adult	M	China's Son	memoir	2003		First
Chen	Da	Chinese American	China	23	young adult	M	Sounds of the River	memoir	2003		First
Chen	Justina	Taiwanese American	Taiwan	born	born	F	Nothing but the Truth (and a few white lies)	novel, YA novel	2007	teen hapa experience, beauty, class, identity	not first
Chen	Justina	Taiwanese American	Taiwan	born	born	F	North of Beautiful	novel, YA novel	2009	teen hapa experience, beauty, class, identity	not first
Chen	Justina	Taiwanese American	Taiwan	born	born	F	Girl Overboard	novel, YA novel	2009	teen hapa experience, beauty, class, identity	not first
Cheng 	Nien	Chinese American	China	60s	adult	F	Life and Death in Shanghai	autobiography	1986	suffering and endurance during Chinese Culture Revolution	first
Cheng	Terrence	Taiwanese American	Taiwan	1	child	M	Sons of Heaven	novel	2002	Tianaman Event in 1989	first
Cheng	Terrence	Taiwanese American	Taiwan	1	child	M	Deep in the Mountain	novel, YA novel	2007	Chinese teenager, graffiti  culture	first
Cheong	Fiona	Singapore Chinese American	Singapore		N/A	F	The Scent of the Gods	novel	1991	Chinese teenager girl, diasporic Chinese family, gender, postcolonial condtiions	first
Cheong	Fiona	Singapore Chinese American	Singapore		N/A	F	Shadow Theater	novel	2002	traditional belief in ghosts and vampires, gender, postcolonial conditions	first
Cherian	Anne	South Asian American	India	adult	adult	F	A good Indian Wife	novel	2008	gender, identity, transculturation	first
Chevapravatdumrong	Cherry	Thai American	Thailand	born	born	F	She's So Money	novel, YA novel	2008	school, sex, destination of college	not first
Chevapravatdumrong	Cherry	Thai American	Thailand	born	born	F	Duplikate	novel, YA novel	2009	school, sex, destination of college	not first
Chiang	Ted	Chinese American	China	born	born	M	The Lifecycle of Software Objects	novella	2010		not first
Chiang	Ted	Chinese American	China	born	born	M	Stories of Your Life and Others	short story collection	2002		not first
Chiang	Yee	Chinese American	China	50s	adult	M	A Chiense Childhood	autobiography	1940		first
Chiang	Yee	Chinese American	China	50s	adult	M	China Revised after Fourty-two years	autobiography	1977		first
Chiang	Yee	Chinese American	China	50s	adult	M	Chin-Pao and the Giang Panda	novel	1939		first
Chiang	Yee	Chinese American	China	50s	adult	M	The Men of the Burma Road	novel	1942		first
Chieng	Chieh	Chinese American	Hong Kong	7	child	M	A Long Stay in a Distant Land	novel	2005	history, memory, family	first
Chin	Frank	Chinese American	China	born	born	M	Donald Duk	novel	1991	Chinese mythology, classics, and American popular culture, father-son relationship, generational tension from scarcity of positive Asian male images	second and fifth, not first
Chin	Frank	Chinese American	China	born	born	M	Gunga Din Highway	novel	1994	Chinese mythology, classics, and American popular culture, father-son relationship, generational tension from scarcity of positive Asian male images	second and fifth, not first
Chin	Frank	Chinese American	China	born	born	M	The Chinaman Pacific and Frisco R. R. Co.	short story collection	1988	Chinese mythology, classics, and American popular culture, father-son relationship, generational tension from scarcity of positive Asian male images	second and fifth, not first
Chin	Justin	Chinese Malaysian American	Malaysia	19	young adult	M	Mongrel: Essays, Diatribes and Pranks	nonfiction	1999	sexuality, desire, hybridity, belonging, homelands, loss	first
Chin	Justin	Chinese Malaysian American	Malaysia	19	young adult	M	Burden of Ashes	ur-memoir	2002	sexuality, desire, hybridity, belonging, homelands, loss	first
Chin	Marilyn	Chinese American	Hong Kong	child	child	F	Revenge of the Mooncake Vixen	short story collection	2009	twin Chinese American sisters in California, Chinese mythology, folktales	first
Chin-Lee	Cynthia	Chinese American	China	born	born	F	Almond Cookies and Dragon Well Tea	children's book, autobiography	1993	friendship	not first
Chin-Lee	Cynthia	Chinese American	China	born	born	F	A is for Asia	children's book	1997		not first
Chin-Lee	Cynthia	Chinese American	China	born	born	F	A is for the Americas	children's book	1999		not first
Chin-Lee	Cynthia	Chinese American	China	born	born	F	Ameila to Zora: Twenty-six WomenWho Changed the World	children's book	2005		not first
Chin-Lee	Cynthia	Chinese American	China	born	born	F	Akira to Zoltan: Twenty-six Men who changed the world	children's book	2008		not first
Chin-Lee	Cynthia	Chinese American	China	born	born	F	Operational Marriage	children's book	2011	lesbian marraige	not first
Chiu	Christina	Chinese American	China		N/A	F	Troublemakers and Other Saints	short story collection	2001	generational conflict, ethnic identity, gender roles	not stated
Choi	Annie	Korean American	Korea	born	born	F	Happy Birth or Whatever	memoir	2007	Tensions between mothers and daughters, korean american family in LA	not first
Choi	Sook Nyul	Korean American	North Korea	20s	young adult	F	Year of Impossible Goodbyes	fictionalized autobiography	1991	Challenges of Korean family during Japanese occuption, preserving national and ethnic identity	not stated
Choi	Sook Nyul	Korean American	North Korea	20s	young adult	F	Echoes of the White Giraffe	fictionalized autobiography	1993	life of refugees in South Korea, female protaganist growing independence	not stated
Choi	Sook Nyul	Korean American	North Korea	20s	young adult	F	Gathering of Pearls	fictionalized autobiography	1994	life in US, tension between traditional family expectations and American individualism	not stated
Choi	Sook Nyul	Korean American	North Korea	20s	young adult	F	Halmoni and the Picnic	children's book	1993		not stated
Choi	Sook Nyul	Korean American	North Korea	20s	young adult	F	The Best Older Sister	children's book	1997		not stated
Choi	Sook Nyul	Korean American	North Korea	20s	young adult	F	Yummi and Halmoni's Trip	children's book	1997		not stated
Choi	Susan	Korean American	Korea	born	born	F	The Foreign Student	novel	1998	romance between korean student and Southern woman	Second
Choi	Susan	Korean American	Korea	born	born	F	American Woman	novel	2003	Japanese American woman agrees to help Patty and her kidnappers	Second
Choi	Susan	Korean American	Korea	born	born	F	A Personal Interest	novel	2008	Alienation, shame	Second
Choi	Yangsook	Korean American	Korea	adult	adult	F	The Name Jar	Children's book	2001		First
Choi	Yangsook	Korean American	Korea	adult	adult	F	New Cat	Children's book	1999		First
Choi	Yangsook	Korean American	Korea	adult	adult	F	Behind the Mask	Children's book	2006		First
Choi	Yangsook	Korean American	Korea	adult	adult	F	Peach Heaven	Children's book	2005		First
Choi	Yangsook	Korean American	Korea	adult	adult	F	The Sun Girl and the Moon Boy: A Korean Folktale	Children's book	1997		First
Choong 	Tinling	Malaysian Chinese American	Malaysia	adult	adult	F	Firewife: A story of fire and water	novel	2007	ancient Chinese creation legend of Nuwa, women's connections through time	first
Choong 	Tinling	Malaysian Chinese American	Malaysia	adult	adult	F	Yuyu and the Banyan Tree	novel	2009	coming-of-age story of Malaysian Chinese girl	first
Chou	Cynthia L. 	Chinese American	China	20s	young adult	F	My Life in the United States	autobiography	1970	immigrant, cultural clash	first
Chu	Louis Hing	Chinese American	China	9	child	M	Eat a Bowl of Tea	novel	1961	Chinatown as realistic, aging bachelor society, patriarchal oppression, racial oppression, legal exclusions of Chinese men and women	first
Chuang	Hua	Chinese American 	China	child	child	F	Crossing	novel, fictionalized autobiography	1968	cultural crossings, dreams, fantasies, Chinese mythology	first
Chung	Sonya	Korean American	Korea	born	born	F	Long for This World	novel	2010	family, immigration, loss, identity	second
Crasta	Richard	South Asian American	India	adult	adult	M	The Revised Kama Sutra: A novel of colonialism and desire	novel	1993	coming of age	first
Crasta	Richard	South Asian American	India	adult	adult	M	What We All Need: An Anti-Terrorist Book of incompletions, unsafe love and writing while brown	short story collection, essay collection	2005	terrorism, sex, drugs	first
Crasta	Richard	South Asian American	India	adult	adult	M	Fathers, Rebels and Dreamers		2005		first
Crasta	Richard	South Asian American	India	adult	adult	M	The Killing of an author: jackie kennedy, sonny pfizer, Seven Little Ayatollahs and a suicide pact	memoir	2008		first
Daswani	Kavita	South Asian American	India	adult	adult	F	For Matrimonial Purposes	novel	2003	first-generational indian women immigrants' experience of love, marriage, work, relationships	first
Daswani	Kavita	South Asian American	India	adult	adult	F	The Village Bride of Beverly Hills	novel	2004	first-generational indian women immigrants' experience of love, marriage, work, relationships	first
Daswani	Kavita	South Asian American	India	adult	adult	F	Salaam, Paris	novel	2007	first-generational indian women immigrants' experience of love, marriage, work, relationships	first
Daswani	Kavita	South Asian American	India	adult	adult	F	Indie Girl	novel, YA novel	2007		first
Davies	Peter Ho	Chinese American	China	adult	adult	M	The Ugliest House in the World	short story collection	1998	Welsh village, travel, multiethnic identities	first
Davies	Peter Ho	Chinese American	China	adult	adult	M	Equal Love	short story collection	2000	interracial marriages, class ambition, alienation, belonging, resentment, longing	first
Davies	Peter Ho	Chinese American	China	adult	adult	M	The Welsh Girl	novel	2008	displacement, cowardize, WWII POW camp	first
Dawesar	Abha	South Asian American	India	young adult	young adult	F	Miniplanner	novel	2000	sensual, sexy, adventurous, cosmopolitan Indians	first
Dawesar	Abha	South Asian American	India	young adult	young adult	F	Babyji	novel	2005	sensual, sexy, adventurous, cosmopolitan Indians	first
Dawesar	Abha	South Asian American	India	young adult	young adult	F	That Summer in Paris	novel	2007	sensual, sexy, adventurous, cosmopolitan Indians	first
Dawesar	Abha	South Asian American	India	young adult	young adult	F	Family Value	novel	2009	sensual, sexy, adventurous, cosmopolitan Indians	first
De Los Santos	Marisa	Filipino Amercan	Philippines	born	born	F	Love Walked In	novel	2006	women's friendship	not first
De Los Santos	Marisa	Filipino Amercan	Philippines	born	born	F	Belong to Me	novel	2010	women's friendship	not first
Desai	Boman	South Asian American	India	adult	adult	M	The Memory of Elephants	science fiction novel, novel	1988	sci fi time travel through saga of family	first
Desai	Boman	South Asian American	India	adult	adult	M	Asylum, USA	novel	2000	Indian immigrant marries a lesbian to avoid deportation	first
Desai	Boman	South Asian American	India	adult	adult	M	A Woman Madly in Love	novel	2004	woman's love affair with boy half her age	first
Desai	Boman	South Asian American	India	adult	adult	M	Servant, Master, Mistress	novel	2005	eve of WWII, son of a wealthy Parsi family marries an English woman	first
Desai	Kiran	South Asian American	India	15	child	F	Hullabaloo in the guaba orchard	novel	1998	hilarious, ironic story from Sampath CHawla's perspective	first
Desai	Kiran	South Asian American	India	15	child	F	The Inheritance of Loss	novel	2006	pain of exile in America and postcolonial existence	first
Desani	Govindas	South Asian American	India	adult	adult	M	All about H. Hatterr	novel	1948	postcolonial literature, hybrid of queen's and babu's english	
Dinh	Linh	Vietnamese American	Vietnam	12	child	M	Fake House	short story collection	2000	race,sex, post-Vietnam War	first
Dinh	Linh	Vietnamese American	Vietnam	12	child	M	Bload and Soap	short story collection	2004	modern day fables and parables with Vietnamese, American and European characters	first
Dinh	Linh	Vietnamese American	Vietnam	12	child	M	Love like Hate	novel	2010	dysfunctional family saga in Vietnam	first
Divakaruni	Chitra Banerjee	South Asian American	India	19	young adult	F	Arranged Marraige	short story collection	1995	South Asian women's powerlessness and fear	first
Divakaruni	Chitra Banerjee	South Asian American	India	19	young adult	F	Mistress of Spices	novel	1996	magic and mysticism	first
Divakaruni	Chitra Banerjee	South Asian American	India	19	young adult	F	Sister of my heart	novel	1999	relationship between two cousins, magical realism	first
Divakaruni	Chitra Banerjee	South Asian American	India	19	young adult	F	The vine of desires	novel	2002	love,betrayal, loss, jealousy, forgiveness	first
Divakaruni	Chitra Banerjee	South Asian American	India	19	young adult	F	The unknown errors of our lives	short story collection	2001	South Asian American women's lives shattered by violence and tortured by conflicts bbetween indian traditions and American values	first
Divakaruni	Chitra Banerjee	South Asian American	India	19	young adult	F	Queen of dreams	novel	2004	magical realism, Indian immigrant mother and American born daughter	first
Divakaruni	Chitra Banerjee	South Asian American	India	19	young adult	F	Palace of Illusion	novel	2008	Mahabharata retelling	first
Divakaruni	Chitra Banerjee	South Asian American	India	19	young adult	F	The Conch Bearer	novel, YA novel	2005	boy magician adventures	first
Divakaruni	Chitra Banerjee	South Asian American	India	19	young adult	F	The mirror of fire and dreams	novel, YA novel	2005	boy magician adventures	first
Divakaruni	Chitra Banerjee	South Asian American	India	19	young adult	F	Shadowland	novel, YA novel	2009	boy magician adventures	first
Divakaruni	Chitra Banerjee	South Asian American	India	19	young adult	F	One Amazing Thing	novel, YA novel	2010	diverse men and women trapped in an Indian consulate	first
D'Souza	Tony	South Asian American	India	born	born	M	Whiteman	novel	2007	set in West frica, American relief worker	not first
D'Souza	Tony	South Asian American	India	born	born	M	The Konkans	novel	2008	Konkans, Jews of India, transplanted to Chicago	not first
Duc	Nguyen Qui	Vietnamese American	Vietnam	teen	teen	M	Where the ashes are: the odyssey of a vietnamese family	memoir	1994		first
Duong 	Uyen Nicole	Vietnamese American	Vietnam	16	child	F	Daugthers of the river Huong	novel	2005	women's lives, family history, cultural conflict, traumatic memory, redemption	first
Duong 	Uyen Nicole	Vietnamese American	Vietnam	16	child	F	Mimi and her Mirror	novel	2011	women's lives, family history, cultural conflict, traumatic memory, redemption	first
Duong 	Uyen Nicole	Vietnamese American	Vietnam	16	child	F	Postcards from Nam	novel	2011	women's lives, family history, cultural conflict, traumatic memory, redemption	first
Eaton	Edith Maude	Chinese American	China	born in England	born in England	F	Mrs. Spring Fragrance	short story collection	1912	Chinese Americans, counters racist stereotypes and critiques legal discriminations	first
Eaton	Winnifred	Chinese American	China	child	child	F	A Japanese Nightingale	novel, romance	1901	Japanese pseudonym; interracial romance	first
Eaton	Winnifred	Chinese American	China	child	child	F	The Wooing of Wisteria	novel, romance	1902	Japanese pseudonym; interracial romance	first
Eaton	Winnifred	Chinese American	China	child	child	F	The Heart of Hyacinth	novel, romance	1903	Japanese pseudonym; interracial romance	first
Eaton	Winnifred	Chinese American	China	child	child	F	The love of Azalea	novel, romance	1904	Japanese pseudonym; interracial romance	first
Eaton	Winnifred	Chinese American	China	child	child	F	A Japanese blossom	novel, romance	1906	Japanese pseudonym; interracial romance	first
Eaton	Winnifred	Chinese American	China	child	child	F	The Diary of Delia	novel	1901	Irish immigrant cook	first
Eaton	Winnifred	Chinese American	China	child	child	F	Miss Numé of Japan	novel	1899		first
Eaton	Winnifred	Chinese American	China	child	child	F	Tama	novel	1910		first
Eaton	Winnifred	Chinese American	China	child	child	F	The Honorable Miss Moonlight	novel	1912		first
Eaton	Winnifred	Chinese American	China	child	child	F	Sunny-San	novel	1922		first
Eaton	Winnifred	Chinese American	China	child	child	F	Cattle	novel	1923		first
Eaton	Winnifred	Chinese American	China	child	child	F	His Royal Nibs	novel	1925		first
Elliott	Duong Van Mai	Vietnamese American	Vietnam	young adult	young adult	F	The Sacred Willows: Four Generations in the Life of a Vietnamese Family	memoir	2000	Vietnamese family, war against French colonial rule, Vietnam War	first
